"OldName","NewName"
"assert","Assert"
"bar","Bar"
"cos","Cos"
"dropTime","DropTime"
"effectResourcehandle","EffectResourcehandle"
"effectSize","EffectSize"
"fanse","Fanse"
"fclose","Fclose"
"filePath","FilePath"
"find_if","Find_if"
"fopen_s","Fopen_s"
"fscanf_s","Fscanf_s"
"hitPos","HitPos"
"mActionTimer","MActionTimer"
"mbBaitFlag","MbBaitFlag"
"mbDeleteFlag","MbDeleteFlag"
"mbDrawFlag","MbDrawFlag"
"mbFlag","MbFlag"
"mbIsPhaseCameraActive","MbIsPhaseCameraActive"
"mbIsVisible","MbIsVisible"
"mbLoop","MbLoop"
"mbLoopFinish","MbLoopFinish"
"mbStopFlag","MbStopFlag"
"mCowtDelete","MCowtDelete"
"mCurrentPhase","MCurrentPhase"
"mCurrentState","MCurrentState"
"mDeleteFlag","MDeleteFlag"
"mfAngle","MfAngle"
"mfAnimationCount","MfAnimationCount"
"mfAnimationTime","MfAnimationTime"
"mfAnimBlendRate","MfAnimBlendRate"
"mfAttack_Speed","MfAttack_Speed"
"mfdeathTime","MfdeathTime"
"mfHorizontalAngle","MfHorizontalAngle"
"mfHp","MfHp"
"mfMaxXp","MfMaxXp"
"mfOldAnimationTime","MfOldAnimationTime"
"mfRadius","MfRadius"
"mfScale","MfScale"
"mfScore","MfScore"
"mfShakeAngle","MfShakeAngle"
"mfShakeAngleSpeed","MfShakeAngleSpeed"
"mfShakeTime","MfShakeTime"
"mfShakeTimeCounter","MfShakeTimeCounter"
"mfShakeWidth","MfShakeWidth"
"mfSpeed","MfSpeed"
"mfStepTime","MfStepTime"
"mfTargetAngle","MfTargetAngle"
"mfVerticalAngle","MfVerticalAngle"
"mfXp","MfXp"
"mHoverSkill","MHoverSkill"
"mnAnimationIndex","MnAnimationIndex"
"mnChangeTextureHandle","MnChangeTextureHandle"
"mNewGameH","MNewGameH"
"mNewGameW","MNewGameW"
"mnFever","MnFever"
"mnHandle","MnHandle"
"mnLoopFinishState","MnLoopFinishState"
"mnModelHandle","MnModelHandle"
"mnNextSceneType","MnNextSceneType"
"mnNowLevel","MnNowLevel"
"mnNowPlayingBgm","MnNowPlayingBgm"
"mnNowPlayingSe","MnNowPlayingSe"
"mnOldAnimationIndex","MnOldAnimationIndex"
"mnSceneType","MnSceneType"
"mnShakeTime","MnShakeTime"
"mnShakeTimeCount","MnShakeTimeCount"
"mnState","MnState"
"mnTag","MnTag"
"mnTransFlag","MnTransFlag"
"mnType","MnType"
"moveVec","MoveVec"
"mpCapsuleCollider","MpCapsuleCollider"
"mpCurrentScene","MpCurrentScene"
"mpCurrentState","MpCurrentState"
"mpFeverPlayer","MpFeverPlayer"
"mpParentObject","MpParentObject"
"mpTarget","MpTarget"
"mSelectAnim","MSelectAnim"
"mSelectedSkill","MSelectedSkill"
"mSelectScale","MSelectScale"
"mVacuumTimer","MVacuumTimer"
"mvLookAtPosition","MvLookAtPosition"
"mvPosition","MvPosition"
"mvPosition2","MvPosition2"
"mvRotation","MvRotation"
"mvScale","MvScale"
"mvShakePosition","MvShakePosition"
"oldmoveVec","OldmoveVec"
"operator","Operator"
"playingEffecthandle","PlayingEffecthandle"
"rand","Rand"
"remove","Remove"
"sin","Sin"
"sqrtf","Sqrtf"
"strcpy_s","Strcpy_s"
"strlen","Strlen"
"tag","Tag"
"test","Test"
"to_string","To_string"
"warning","Warning"
