"OldName","NewName"
"CatchNowCount","catchNowCount"
"FeverFlag","feverFlag"
"GameFinishFlag","gameFinishFlag"
"m_Num","num"
"m_PhaseChangeCount","phaseChangeCount"
"m_PhaseTimer","phaseTimer"
"mActionTimer","actionTimer"
"mActive","active"
"mAnimals","animals"
"mAutoPatrolTimer","autoPatrolTimer"
"mbBaitFlag","baitFlag"
"mbDeleteFlag","deleteFlag"
"mbDrawFlag","drawFlag"
"mbFlag","flag"
"mbIsDebugCamera","isDebugCamera"
"mbIsDraggingUfo","isDraggingUfo"
"mbIsHoverNewGame","isHoverNewGame"
"mbIsPhaseCameraActive","isPhaseCameraActive"
"mbIsVisible","isVisible"
"mbLoop","loop"
"mbLoopFinish","loopFinish"
"mbSkillFlag","skillFlag"
"mbStopFlag","stopFlag"
"mButtons","buttons"
"mbVacuumFlag","vacuumFlag"
"mCard1Y","card1Y"
"mCard2Y","card2Y"
"mCard3Y","card3Y"
"mColliderList","colliderList"
"mColliderRadius","colliderRadius"
"mCollisionList","collisionList"
"mCows","cows"
"mCowtDelete","cowtDelete"
"mCowVoiceTimer","cowVoiceTimer"
"mCurrentPhase","currentPhase"
"mCurrentRadius","currentRadius"
"mCurrentScaleRatio","currentScaleRatio"
"mCurrentState","currentState"
"mData","gameStepDataList"
"mDeleteFlag","deleteFlag"
"mDownBuffer","downBuffer"
"mEffectTimer","effectTimer"
"mFadeState","fadeState"
"mfAngle","angle"
"mfAnimationCount","animationCount"
"mfAnimationTime","animationTime"
"mfAnimBlendRate","animBlendRate"
"mfAttack_Speed","attack_Speed"
"mfCurrentCameraDistance","currentCameraDistance"
"mfDeltaTime","deltaTime"
"mfFadeAlpha","fadeAlpha"
"mfFadeSpeed","fadeSpeed"
"mfHorizontalAngle","horizontalAngle"
"mfHp","hp"
"mFlag","flag"
"mFlash","flash"
"mFlashAlpha","flashAlpha"
"mfLoop","loop"
"mfMaxXp","maxXp"
"mfOldAnimationTime","oldAnimationTime"
"mFontBackGraph","fontBackGraph"
"mFontHandle","fontHandle"
"mfRadius","radius"
"mFrameCount","frameCount"
"mfScale","scale"
"mfScore","score"
"mfShakeAngle","shakeAngle"
"mfShakeAngleSpeed","shakeAngleSpeed"
"mfShakeTime","shakeTime"
"mfShakeTimeCounter","shakeTimeCounter"
"mfShakeWidth","shakeWidth"
"mfSpeed","speed"
"mfStepTime","stepTime"
"mfTargetAngle","targetAngle"
"mfVerticalAngle","verticalAngle"
"mfXp","xp"
"mGauge","gauge"
"mHasStunned","hasStunned"
